Run Name,Motor Stop Time (s),OOD Detector Start Time (s),OOD Detector End Time (s),Image Capture Time (s),OOD Score
ST8,0.0,1614244997.201472,1614244997.805415,1614244997.1768677,0.06383633613586426
ST8,0.0,1614244997.805415,1614244998.255329,1614244997.807915,0.10886520147323608
ST8,1614244998.900391,1614244998.255329,1614244998.858895,1614244998.2412233,0.22959840297698975
ST9,0.0,0.0,1614245105.746359,1614245104.9845724,0.052183687686920166
ST9,0.0,1614245105.746359,1614245106.608494,1614245105.7514467,0.05088835954666138
ST9,0.0,1614245106.608494,1614245107.033241,1614245106.5855865,0.03935873508453369
ST9,0.0,1614245107.033241,1614245107.614486,1614245107.0200486,0.04119497537612915
ST9,0.0,1614245107.614486,1614245108.439000,1614245107.619232,0.07326143980026245
ST9,0.0,1614245108.439000,1614245108.941611,1614245108.4166105,0.08149433135986328
ST9,0.0,1614245108.941611,1614245109.296854,1614245108.9163775,0.08275258541107178
ST9,0.0,1614245109.296854,1614245110.031091,1614245109.2850263,0.08142417669296265
ST9,1614245111.128531,1614245110.031091,1614245111.090707,1614245110.0179982,0.2993706464767456
ST10,0.0,0.0,1614245201.888945,1614245200.5351803,0.05127781629562378
ST10,0.0,1614245201.888945,1614245202.899362,1614245201.868878,0.051712214946746826
ST10,0.0,1614245202.899362,1614245203.572567,1614245202.9022737,0.05231672525405884
ST10,0.0,1614245203.572567,1614245204.123196,1614245203.5684738,0.0608750581741333
ST10,0.0,1614245204.123196,1614245204.451846,1614245204.1004875,0.05426543951034546
ST10,0.0,1614245204.451846,1614245204.799214,1614245204.4371994,0.056392133235931396
ST10,0.0,1614245204.799214,1614245205.194936,1614245204.8000236,0.061261773109436035
ST10,0.0,1614245205.194936,1614245205.684906,1614245205.199731,0.07245618104934692
ST10,1614245206.159917,1614245205.684906,1614245206.129796,1614245205.6685157,0.1649966835975647
RC1,0.0,0.0,1614245392.251077,1614245391.1013062,0.05386614799499512
RC1,0.0,1614245392.251077,1614245392.827246,1614245392.2679067,0.06372588872909546
RC1,0.0,1614245392.827246,1614245393.385917,1614245392.8070955,0.057075440883636475
RC1,0.0,1614245393.385917,1614245394.052222,1614245393.3681464,0.0647503137588501
RC1,0.0,1614245394.052222,1614245394.656539,1614245394.0338378,0.07446694374084473
RC1,0.0,1614245394.656539,1614245394.983322,1614245394.6364927,0.10412466526031494
RC1,1614245395.301493,1614245394.983322,1614245395.290955,1614245394.9686909,0.1344863772392273
RC2,0.0,0.0,1614245506.628716,1614245505.5775242,0.04782527685165405
RC2,0.0,1614245506.628716,1614245507.438250,1614245506.6091614,0.0485568642616272
RC2,0.0,1614245507.438250,1614245507.860339,1614245507.4129758,0.04898083209991455
RC2,0.0,1614245507.860339,1614245508.429402,1614245507.8441079,0.0403556227684021
RC2,0.0,1614245508.429402,1614245509.173218,1614245508.4111323,0.07483196258544922
RC2,0.0,1614245509.173218,1614245509.725937,1614245509.1749513,0.07955336570739746
RC2,0.0,1614245509.725937,1614245510.086703,1614245509.7070763,0.09093624353408813
RC2,1614245510.688393,1614245510.086703,1614245510.662637,1614245510.0738819,0.13716280460357666
RC3,0.0,0.0,1614247565.962771,1614247564.7709768,0.07121562957763672
RC3,0.0,1614247565.962771,1614247566.566841,1614247565.9507349,0.0677633285522461
RC3,0.0,1614247566.566841,1614247567.163485,1614247566.569722,0.08902597427368164
RC3,1614247568.134254,1614247567.163485,1614247568.110183,1614247567.1410046,0.13471806049346924
RC4,0.0,0.0,1614247647.511553,1614247646.5595846,0.109688401222229
RC4,1614247647.868045,1614247647.511553,1614247647.846841,1614247647.495751,0.11554867029190063
RC5,0.0,0.0,1614247745.092504,1614247744.0760448,0.14065402746200562
RC5,1614247746.194620,1614247745.092504,1614247746.090765,1614247745.075795,0.13700956106185913
RC6,0.0,0.0,1614247864.475937,1614247863.6131518,0.10426545143127441
RC6,0.0,1614247864.475937,1614247864.927840,1614247864.4462178,0.10273575782775879
RC6,0.0,1614247864.927840,1614247865.302684,1614247864.9152484,0.10052508115768433
RC6,0.0,1614247865.302684,1614247866.028607,1614247865.2780848,0.09871184825897217
RC6,0.0,1614247866.028607,1614247866.602801,1614247866.011467,0.0975499153137207
RC6,1614247867.217034,1614247866.602801,1614247867.202148,1614247866.5777228,0.1130603551864624
RC7,0.0,0.0,1614247965.357666,1614247964.4277036,0.10672140121459961
RC7,0.0,1614247965.357666,1614247966.254709,1614247965.3624625,0.10118114948272705
RC7,0.0,1614247966.254709,1614247966.841234,1614247966.224993,0.10633796453475952
RC7,0.0,1614247966.841234,1614247967.370121,1614247966.8279266,0.08905237913131714
RC7,1614247967.873417,1614247967.370121,1614247967.853832,1614247967.3580258,0.114468514919281
RC8,0.0,0.0,1614248043.377659,1614248042.0334957,0.0770081877708435
RC8,0.0,1614248043.377659,1614248043.948809,1614248043.352021,0.07823538780212402
RC8,0.0,1614248043.948809,1614248044.316288,1614248043.9508946,0.07166069746017456
RC8,1614248044.670742,1614248044.316288,1614248044.649401,1614248044.3179882,0.13355690240859985
RC9,0.0,0.0,1614248170.238174,1614248169.25144,0.08622181415557861
RC9,0.0,1614248170.238174,1614248171.313370,1614248170.2506807,0.08599883317947388
RC9,0.0,1614248171.313370,1614248172.182326,1614248171.3192923,0.10773837566375732
RC9,1614248172.803698,1614248172.182326,1614248172.778586,1614248172.169199,0.3412611484527588
RC10,0.0,0.0,1614248265.221487,1614248263.4682674,0.070514976978302
RC10,0.0,1614248265.221487,1614248266.472981,1614248265.2348802,0.07062017917633057
RC10,0.0,1614248266.472981,1614248267.248031,1614248266.4717357,0.06731903553009033
RC10,0.0,1614248267.248031,1614248267.862454,1614248267.2331545,0.09494960308074951
RC10,1614248268.281986,1614248267.862454,1614248268.263668,1614248267.8671157,0.23010456562042236
